UIN,Incident.day,Incident.month,Incident.year,Victim.injury,State,Location,Shark.common.name,Shark.scientific.name,Latitude-Orig,Longitude-Orig,Adjusted,Site.category,AdjLat,AdjLong,Latitude,Longitude,Notes
894,14,12,2009,injured,NSW,evans head,white shark,Carcharodon carcharias ,-29.1000,153.4333,No,coastal,,,-29.1000,153.4333,"-29.106675, 153.448341"
895,1,12,2009,uninjured,NSW,tuncurry beach,white shark,Carcharodon carcharias ,-32.1667,152.5000,No,coastal,,,-32.1667,152.5000,
896,1,1,2010,uninjured,QLD,"bargara, archies beach",white shark,Carcharodon carcharias ,-24.8000,152.4500,No,coastal,,,-24.8000,152.4500,
897,1,1,2010,injured,VIC,"13th beach, boings",white shark,Carcharodon carcharias ,-38.2833,144.4333,No,coastal,,,-38.2833,144.4333,
898,1,1,2010,injured,QLD,"thursday island, torre strait",whitetip reef shark,Triaenodon obesus  ,-10.5667,142.2167,No,coastal,,,-10.5667,142.2167,
899,6,2,2010,uninjured,NSW,"yamba, turners beach",white shark,Carcharodon carcharias ,-29.4167,153.3667,No,coastal,,,-29.4167,153.3667,
900,1,2,2010,injured,QLD,"dent island, whitsunday islands",bull shark,Carcharhinus leucas,-20.3500,148.9333,No,coastal,,,-20.3500,148.9333,
901,1,2,2010,injured,NSW,"mona vale, bongin bongin bay",wobbegong,Orectolobidae,-33.6667,151.3000,No,coastal,,,-33.6667,151.3000,
902,1,5,2010,injured,NSW,"crescent heads, point plomer",bull shark,Carcharhinus leucas,-31.3000,152.9667,No,coastal,,,-31.3000,152.9667,
903,1,6,2010,injured,WA,"conspicuous cliff beach, walpole",white shark,Carcharodon carcharias ,-35.0333,116.8333,No,coastal,,,-35.0333,116.8333,
904,8,8,2010,injured,NSW,crescent head,white shark,Carcharodon carcharias ,-31.1833,152.9667,No,coastal,,,-31.1833,152.9667,
905,1,8,2010,fatal,WA,"south point beach, cowaramup bay",white shark,Carcharodon carcharias ,-33.8500,114.9667,No,coastal,,,-33.8500,114.9667,
906,13,9,2010,injured,NSW,"yamba, lluka, frasers reef",white shark,Carcharodon carcharias ,-29.4000,153.3333,No,island open ocean,,,-29.4000,153.3333,
907,1,10,2010,injured,WA,"wedge island, north of perth",white shark,Carcharodon carcharias ,-30.8333,115.2667,No,Coastal,,,-30.8333,115.2667,
908,1,10,2010,injured,NSW,"mullawarra beach, arrawarra",wobbegong,Orectolobidae,-30.0667,153.2000,No,coastal,,,-30.0667,153.2000,
909,1,10,2010,injured,WA,"garden island, perth",white shark,Carcharodon carcharias ,-32.1833,115.6833,No,island open ocean,,,-32.1833,115.6833,
910,1,2,2011,fatal,SA,perforated island nr coffin bay,white shark,Carcharodon carcharias ,-34.7167,135.1500,No,island open ocean,,,-34.7167,135.1500,
911,1,2,2011,injured,WA,exmouth,whaler shark,Carcharhinidae,-21.9500,114.1167,No,coastal,,,-21.9500,114.1167,
912,16,3,2011,injured,NSW,"port stephens, jimmys beach",white shark,Carcharodon carcharias ,-32.7333,152.1833,No,coastal,,,-32.7333,152.1833,
913,23,3,2011,injured,NSW,crowdy heads,bull shark,Carcharodon carcharias ,-31.8464,152.7489,No,coastal,,,-31.8464,152.7489,
914,1,4,2011,injured,WA,"red bluff, nr carnarvon",whaler shark,Carcharhinidae,-24.4833,113.4000,No,coastal,,,-24.4833,113.4000,
915,1,5,2011,injured,NSW,big seal rocks,wobbegong,Orectolobidae,-32.4500,152.5333,No,coastal,,,-32.4500,152.5333,
916,1,8,2011,fatal,QLD,"challenger bay, palm island",tiger shark,Galeocerdo cuvier ,-18.7167,146.5667,No,coastal,,,-18.7167,146.5667,
917,1,9,2011,fatal,WA,bunker bay,white shark,Carcharodon carcharias ,-33.5333,115.0333,No,coastal,,,-33.5333,115.0333,
918,1,10,2011,fatal,WA,rottnest island,white shark,Carcharodon carcharias ,-32.0000,115.4500,No,island open ocean,,,-32.0000,115.4500,
919,1,10,2011,uninjured,VIC,"elwood beach, port phillip bay",port jackson shark,Heterodontus portusjacksoni,-37.8833,144.9833,No,coastal,,,-37.8833,144.9833,
